Id;Created At;Updated At;Owner Id;Owner Name;Owner E-mail;Slug;Title Value;Naam;Domein;Volgorde
5e46459a8bf7476bde0014f2;2020-02-14T08:00:42+01:00;2022-03-23T10:34:02+01:00;"";"";"";gebrekkige-grof-motorische-coordinatie;Grove motoriek;Grove motoriek;Motoriek;1
5e4645a82c06e84f7600496a;2020-02-14T08:00:56+01:00;2022-03-23T10:34:55+01:00;"";"";"";probleem-met-houdingsveranderingen;Houdingsveranderingen;Houdingsveranderingen;Motoriek;2
5e4645b32c06e8229b005e56;2020-02-14T08:01:07+01:00;2022-03-23T10:34:21+01:00;"";"";"";gebrekkige-fijn-motorische-coordinatie;Fijne motoriek;Fijne motoriek;Motoriek;3
5e4645e92c06e87d54000745;2020-02-14T08:02:01+01:00;2020-02-14T08:02:01+01:00;"";"";"";zelfredzaamheid;Zelfredzaamheid;Zelfredzaamheid;Motoriek;7
5e4645f62c06e87c24000828;2020-02-14T08:02:14+01:00;2020-02-14T08:02:14+01:00;"";"";"";kwaliteit-van-bewegen;Kwaliteit van bewegen;Kwaliteit van bewegen;Motoriek;8
5e4646578bf7471d150059e4;2020-02-14T08:03:51+01:00;2022-03-23T11:41:59+01:00;"";"";"";afwijkend-taalbegrip;Taalbegrip;Taalbegrip;Taal en/of communicatie;4
5e4646632c06e87019001931;2020-02-14T08:04:03+01:00;2022-03-23T11:43:55+01:00;"";"";"";taalregels-worden-afwijkend-gebruikt;Taalproductie;Taalproductie;Taal en/of communicatie;5
5e4646728bf7472d3900b50e;2020-02-14T08:04:18+01:00;2022-03-23T11:41:36+01:00;"";"";"";taalregels-worden-afwijkend-gebruikt-1;Articulatie;Articulatie;Taal en/of communicatie;6
5e4646968bf7471d15005a0a;2020-02-14T08:04:54+01:00;2022-03-23T11:42:16+01:00;"";"";"";problemen-met-communicatie;Communicatie;Communicatie;Taal en/of communicatie;7
5e4646ac2c06e87cc00044c2;2020-02-14T08:05:16+01:00;2022-03-24T11:23:52+01:00;"";"";"";onverschilligheid-voor-personen-geen-interactie-onduidelijke-communicatie-van-emoties-gebrek-aan;Interactie met anderen;Interactie met anderen;Sociale vaardigheden;1
5e4646bb2c06e8293d0013bf;2020-02-14T08:05:31+01:00;2022-03-24T11:22:59+01:00;"";"";"";geen-imitatie-1;Imitatie;Imitatie;Sociale vaardigheden;2
5e4646ca2c06e870190019a3;2020-02-14T08:05:46+01:00;2022-03-24T11:24:57+01:00;"";"";"";isolement-niet-kunnen-samenspelen;Samen spelen;Samen spelen;Sociale vaardigheden;3
5e4646d98bf7471671001916;2020-02-14T08:06:01+01:00;2020-02-14T08:06:01+01:00;"";"";"";stereotiep-spel-en-stereotiepe-bewegingen;Stereotiep spel en stereotiepe bewegingen;Stereotiep spel en stereotiepe bewegingen;Gedrag en spel;1
5e4646ea8bf74716d20016a5;2020-02-14T08:06:18+01:00;2022-03-24T11:25:58+01:00;"";"";"";gebruikt-geen-fantasie;Spel;Spel;Gedrag en spel;2
5e4646f42c06e87cc0004564;2020-02-14T08:06:28+01:00;2020-02-14T08:06:28+01:00;"";"";"";angst;Angst;Angst;Gedrag en spel;3
5e4647002c06e871af0045ae;2020-02-14T08:06:40+01:00;2020-02-14T08:06:40+01:00;"";"";"";andere-opvallende-gedragingen;Andere opvallende gedragingen;Andere opvallende gedragingen;Gedrag en spel;4
